source_index,target_index,source_entity,target_entity,type,count
LOCAL_07698930,LOCAL_48537721,prominence,artery,located_at,1
LOCAL_08000004,LOCAL_00424916,mild,degree,modify,1
LOCAL_87324074,LOCAL_39726383,granuloma,lung,located_at,1
LOCAL_87154904,LOCAL_63502144,silhouette,appearance,located_at,2
LOCAL_87038428,LOCAL_75392624,prominent,vessels,modify,1
LOCAL_86948052,LOCAL_57830398,sharp,sulci,modify,1
LOCAL_86931025,LOCAL_66577251,particularly,consolidation,modify,1
LOCAL_08946854,LOCAL_72857402,venous,line,modify,1
LOCAL_84291121,LOCAL_48537721,main,artery,modify,1
LOCAL_83889212,LOCAL_75234838,increase,edema,suggestive_of,1
LOCAL_83889212,LOCAL_32343897,increase,interstitial,located_at,1
LOCAL_83889212,LOCAL_05505534,increase,markings,modify,1
LOCAL_82806019,LOCAL_08946854,central,venous,modify,1
LOCAL_67140897,LOCAL_31797238,volumes,increased,modify,2
LOCAL_80587559,LOCAL_57830398,costophrenic,sulci,modify,1
LOCAL_18446319,LOCAL_21798656,congestion,vascular,located_at,1
LOCAL_66577251,LOCAL_67881809,consolidation,effusion,suggestive_of,1
LOCAL_66997910,LOCAL_70463019,prior,examination,modify,1
LOCAL_39726383,LOCAL_50653192,lung,base,located_at,1
LOCAL_46048355,LOCAL_38748987,ectatic,aorta,located_at,1
LOCAL_44800077,LOCAL_75392624,pulmonary,vessels,located_at,1
LOCAL_42736631,LOCAL_65353722,anterior,rib,modify,1
LOCAL_42736631,LOCAL_16379912,anterior,region,modify,1
LOCAL_28116606,LOCAL_70876072,wires,sternal,located_at,1
LOCAL_42378462,LOCAL_01844813,surgical,change,modify,1
LOCAL_28989815,LOCAL_16379912,calcifications,region,located_at,1
LOCAL_39726383,LOCAL_67140897,lung,volumes,located_at,1
LOCAL_39726383,LOCAL_37261538,lung,zone,located_at,1
LOCAL_52305761,LOCAL_12337641,breast,shadow,located_at,1
LOCAL_38748987,LOCAL_41803280,aorta,chest,located_at,1
LOCAL_29459777,LOCAL_51611844,previous,study,modify,1
LOCAL_38312826,LOCAL_19338621,bilateral,pleural,modify,1
LOCAL_37729484,LOCAL_64732217,compatible,mastectomy,suggestive_of,1
LOCAL_36432253,LOCAL_71384668,significantly,changed,modify,1
LOCAL_32212985,LOCAL_74405926,1,cm,modify,1
LOCAL_34109635,LOCAL_21883308,coil,epigrastrium,located_at,1
LOCAL_34022368,LOCAL_85427792,left,extremity,modify,1
LOCAL_34022368,LOCAL_13751433,left,upper,modify,1
LOCAL_26144836,LOCAL_78604470,remaining,bones,modify,1
LOCAL_18446319,LOCAL_44800077,congestion,pulmonary,located_at,1
LOCAL_56477475,LOCAL_92930144,unremarkable,hila,modify,1
LOCAL_66997910,LOCAL_51611844,prior,study,modify,1
LOCAL_66997910,LOCAL_39318445,prior,exam,modify,1
LOCAL_34022368,LOCAL_50653192,left,base,modify,1
LOCAL_64732217,LOCAL_75817227,mastectomy,absence,suggestive_of,1
LOCAL_63502144,LOCAL_81551826,appearance,arteries,located_at,1
LOCAL_62329369,LOCAL_49613020,soft,tissue,modify,1
LOCAL_23405295,LOCAL_41803280,view,chest,located_at,1
LOCAL_60376651,LOCAL_11778426,clips,mediastinal,located_at,1
LOCAL_56477475,LOCAL_78604470,unremarkable,bones,modify,1
LOCAL_53096480,LOCAL_88472903,two,drains,modify,1
LOCAL_55501006,LOCAL_23405295,ap,view,modify,1
LOCAL_55094375,LOCAL_66577251,focal,consolidation,modify,1
LOCAL_24689054,LOCAL_26749096,stent,liver,located_at,1
LOCAL_25146010,LOCAL_23405295,upright,view,modify,1
LOCAL_26144836,LOCAL_62329369,remaining,soft,modify,1
LOCAL_54267693,LOCAL_51655895,right,jugular,modify,1
LOCAL_54267693,LOCAL_39726383,right,lung,modify,1
LOCAL_26144836,LOCAL_73087741,remaining,tissues,modify,1
LOCAL_54267693,LOCAL_13751433,right,upper,modify,1
LOCAL_53584341,LOCAL_16379912,suprahilar,region,located_at,1
LOCAL_00424916,LOCAL_75234838,degree,edema,suggesting,1
